Subj,Date,Time,Experimenter,Room,Condition,res1_race,res1_name,res1_ver,res1_mancheck,res1_Q1,res1_Q2,res1_Q3,res1_Q4,res1_Q5,res1_Q6,res1_Q7,res1_Q8,res1_Q9,res1_Q10,res1_Q11,res1_Q12,res1_Q13,res2_ver,res2_race,res2_name,res2_mancheck,res2_Q1,res2_Q2,res2_Q3,res2_Q4,res2_Q5,res2_Q6,res2_Q7,res2_Q8,res2_Q9,res2_Q10,res2_Q11,res2_Q12,res2_Q13,hired,hired_race,res1racecheck,res1gendercheck,res2racecheck,res2gendercheck,p_gender1,p_gender1a,p_gender2,p_race_af,p_race_aa,p_race_ha,p_race_an,p_race_pi,p_race_mea,p_race_w,p_race_o,p_race_oa,p_us,p_uslength,Comments,Data Entry Analyst,Date Data Entered,Data Check,Notes
19,2/26/18,11:45,Emily,F,A,AF,4,A,1,3,4,4,4,4,5,5,4,4,5,5,4,4,B,AA,4,1,5,5,4,4,4,5,5,3,4,5,5,4,4,2,AA,3,3,2,2,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/12/18,Prachi,
20,2/26/18,12:55,Emily,F,C,AF,4,B,1,5,6,5,7,7,6,7,7,7,7,7,7,2,A,AA,1,1,5,6,5,7,7,7,6,5,5,7,7,6,2,1,AF,1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,0,1,16,"Someone made a loud laughing noise during intro, it distracted the participant",Maddie,3/12/18,Prachi,
21,2/26/18,13:30,Maddie,E,C,AF,3,B,1,5,6,5,5,5,5,7,6,6,5,5,4,4,A,AA,4,1,5,6,6,5,5,6,5,4,4,5,5,4,4,1,AF,1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,0,1,19,"Appeared familiar with one another, possibly friends",Maddie,3/12/18,Prachi,
22,2/26/18,13:30,Maddie,F,A,AF,2,A,1,6,7,7,7,7,7,7,7,7,6,6,5,3,B,AA,3,1,5,7,6,7,7,7,6,4,4,6,6,5,3,1,AF,1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,0,1,18,"Appeared familiar with one another, possibly friends",Maddie,3/12/18,Prachi,
23,2/26/18,14:40,Avery,F,C,AA,4,A,1,6,7,7,7,5,5,7,4,4,5,5,4,4,B,AF,4,1,6,7,7,7,5,5,7,7,7,5,5,4,4,2,AF,2,2,7,7,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/12/18,Prachi,
24,2/26/18,14:40,Avery,E,C,AF,1,B,1,6,7,7,6,7,6,7,7,7,6,6,3,4,A,AA,2,1,6,5,6,6,6,6,5,4,4,7,6,2,5,1,AF,7,7,2,2,2,0,2,0,0,0,0,0,1,1,0,0,2,3,Had a lot of comments after the debrief that I typed out,Maddie,3/12/18,Prachi,
25,2/26/18,14:40,Avery,D,A,AA,2,A,1,5,6,7,6,6,6,3,5,3,5,5,1,1,B,AF,1,1,5,6,7,6,6,5,5,5,5,5,5,1,1,2,AF,2,2,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Maddie,3/12/18,Prachi,
26,2/26/18,15:10,Avery,C,C,AF,2,A,1,5,7,6,6,6,6,6,5,5,5,5,4,4,B,AA,3,1,5,7,6,6,6,6,5,4,4,5,5,4,4,1,AF,1,1,2,2,1,0,2,0,0,0,0,0,0,1,0,0,1,18,,Maddie,3/12/18,Prachi,
27,2/26/18,15:40,Avery,F,A,AF,2,B,1,6,7,7,6,6,6,6,6,6,4,4,4,4,A,AA,1,1,5,7,5,5,6,6,5,4,4,4,4,4,4,1,AF,1,1,2,2,1,0,2,0,0,0,0,0,0,1,0,0,1,20,,Maddie,3/12/18,Prachi,
28,2/26/18,16:40,Avery,E,S,AF,4,A,1,5,7,6,6,7,6,7,4,4,4,4,4,4,B,AA,1,1,5,7,6,6,7,6,5,4,4,4,4,4,4,2,AA,1,1,2,2,1,0,2,0,0,0,0,0,0,1,0,0,1,20,,Maddie,3/12/18,Prachi,
29,2/26/18,17:10,Avery,D,S,AF,4,B,1,6,7,6,6,6,7,5,4,5,6,6,4,4,A,AA,4,1,5,7,5,5,6,6,3,3,2,5,6,5,3,1,AF,1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,0,1,18,Participant noted that some responses were scribbled out,Maddie,3/12/18,Prachi,
30,2/27/18,10:30,Maddie,F,A,AF,1,B,1,7,7,7,7,7,7,7,7,7,6,6,4,4,A,AA,2,,6,7,6,5,7,6,6,4,5,5,6,6,3,1,AF,1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,0,1,21,,Maddie,3/12/18,Prachi,
31,2/27/18,11:30,Maddie,E,C,AF,2,B,1,4,7,5,6,6,6,6,4,5,5,5,4,4,A,AA,2,1,4,7,6,6,6,5,5,4,5,6,6,4,4,1,AF,1,1,2,2,1,0,2,0,0,0,0,0,0,1,0,0,1,18,,Maddie,3/12/18,Prachi,
