Subj,Date,Time,Experimenter,Room,Condition,res1_race,res1_name,res1_ver,res1_mancheck,res1_Q1,res1_Q2,res1_Q3,res1_Q4,res1_Q5,res1_Q6,res1_Q7,res1_Q8,res1_Q9,res1_Q10,res1_Q11,res1_Q12,res1_Q13,res2_ver,res2_race,res2_name,res2_mancheck,res2_Q1,res2_Q2,res2_Q3,res2_Q4,res2_Q5,res2_Q6,res2_Q7,res2_Q8,res2_Q9,res2_Q10,res2_Q11,res2_Q12,res2_Q13,hired,hired_race,res1racecheck,res1gendercheck,res2racecheck,res2gendercheck,p_gender1,p_gender1a,p_gender2,p_race_af,p_race_aa,p_race_ha,p_race_an,p_race_pi,p_race_mea,p_race_w,p_race_o,p_race_oa,p_us,p_uslength,Comments,Data Entry Analyst,Date Data Entered,Data Check,Notes
78,3/8/18,16:05,Phillip,E,A,AA,2,B,1,5,5,5,6,7,6,5,4,4,6,6,5,3,A,AF,4,1,6,6,6,6,6,6,7,7,7,6,6,6,2,2,AF,2,,1,,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/13/18,Prachi,
79,3/9/18,16:05,Phillip,F,C,AF,1,A,1,5,7,5,6,5,7,4,4,6,5,4,4,4,B,AA,1,1,5,6,4,5,7,7,4,4,6,3,4,4,4,1,AF,1,,2,,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/13/18,Prachi,
80,3/9/18,16:35,Phillip,F,A,AA,2,B,1,6,7,6,6,7,6,5,6,4,6,6,5,5,A,AF,3,1,5,6,6,6,5,5,6,6,6,5,6,5,3,1,AA,2,,1,,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/13/18,Prachi,
81,4/2/18,9:00,Maddie,F,S,AF,1,A,1,3,3,2,3,3,4,5,5,5,4,4,4,4,B,AA,2,1,4,4,3,3,4,4,3,4,2,4,4,4,4,2,AA,1,,2,,2,0,2,0,0,0,0,0,0,1,0,0,1,18,Participant noted she was nervous at start & emailed me (Maddie) as I was late. Did not get debrief statement as there was none in the box and could not access on the computer. (Last minute sign-up),Maddie,4/3/18,Nadra,
82,4/2/18,9:30,Maddie,F,S,AA,4,A,1,5,7,5,6,6,6,7,5,7,6,6,4,4,B,AF,3,1,5,7,5,6,6,6,7,6,7,6,6,5,4,2,AF,2,,1,,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,4/3/18,Nadra,
83,4/2/18,10:30,Maddie,F,A,AA,1,A,1,5,7,6,6,7,6,6,5,5,6,6,6,4,B,AF,3,1,6,7,6,6,6,6,6,6,6,6,6,6,4,2,AF,2,,1,,2,0,2,0,0,0,0,0,0,1,0,0,1,20,"Very smiley, friendly- asked my name. 83 & 84 know each other as they were cuddling when I called for them in the lobby. 83 had their packet open when I opened the door following debrief with 84",Maddie,4/3/18,Nadra,
84,4/2/18,10:30,Maddie,E,S,AA,1,B,1,6,7,7,7,7,6,7,4,4,4,4,4,2,A,AF,2,1,6,7,7,7,7,6,7,7,7,4,4,4,2,2,AF,2,,1,,1,0,2,0,0,0,0,0,0,1,0,0,1,20,,Maddie,4/3/18,Nadra,
85,4/2/18,11:30,Maddie,F,C,AA,1,A,1,5,6,5,6,6,6,6,4,4,5,5,5,3,B,AF,3,1,6,6,6,6,5,6,6,6,6,5,5,5,3,2,AF,2,,1,,1,0,2,0,0,0,0,0,0,1,0,0,2,1,,Maddie,4/3/18,Nadra,
86,4/2/18,11:30,Maddie,E,A,AA,3,B,1,6,6,6,6,7,7,6,7,6,7,7,4,3,A,AF,3,1,6,6,6,6,7,7,6,7,6,7,7,5,3,2,AF,2,,1,,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,4/3/18,Nadra,
87,4/2/18,12:00,Maddie,F,C,AF,2,A,1,6,7,6,6,6,6,7,6,5,4,4,4,4,B,AA,4,1,6,7,6,6,6,6,7,5,5,4,4,4,4,2,AA,1,,2,,1,0,2,0,0,0,0,0,0,1,0,0,1,20,Participant hung their coat up and asked about turning off their personal computer at the start- was buckling backpack during first part of intro,Maddie,4/3/18,Nadra,
88,4/2/18,14:35,Maddie,F,S,AA,1,B,1,7,7,7,7,7,7,7,7,7,7,7,3,3,A,AF,4,1,7,7,7,6,7,7,7,7,7,7,7,4,4,1,AA,2,,1,,2,0,2,0,0,0,0,0,0,1,0,0,2,16,"Did not complete the last 3 pages- I noticed after debrief, asked if they wanted to complete it- so they took it back, took 15min to complete the final 3 pages. Had a lot of question post-debrief about how to become a researcher and RA in psych labs.",Maddie,4/3/18,Nadra,
89,4/2/18,14:30,Maddie,E,S,AA,1,A,1,7,7,6,7,6,6,5,4,5,6,6,4,4,B,AF,3,1,7,7,7,7,7,7,7,7,7,7,7,7,3,2,AF,2,,1,,2,0,2,0,0,0,0,0,0,1,0,0,1,19,"Brought participants in at 2:30, 5min before the scheduled start- did intro for 88 while 89,90,91 completed the study.",Maddie,4/3/18,Nadra,Incorrect packet. Resumes were switched/in the wrong order; Randomization ERROR (counterbalancing)
90,4/2/18,14:30,Maddie,D,C,AA,4,B,1,6,7,5,6,7,6,6,4,4,5,4,4,4,A,AF,1,,5,6,5,5,6,6,5,5,5,5,4,4,4,1,AA,2,,1,,1,0,2,0,0,0,0,0,0,1,0,0,2,0.5,"Brought participants in at 2:30, 5min before the scheduled start- did intro for 88 while 89,90,91 completed the study.",Maddie,4/3/18,Nadra,
91,4/2/18,14:30,Maddie,C,S,AA,2,B,1,6,7,5,6,5,5,5,4,4,4,4,4,4,A,AF,3,1,6,7,6,6,5,5,5,4,4,4,4,4,4,1,AA,2,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,1,20,"Brought participants in at 2:30, 5min before the scheduled start- did intro for 88 while 89,90,91 completed the study.",Maddie,4/3/18,Nadra,
92,4/2/18,15:35,Maddie,F,A,AF,2,A,1,4,5,4,6,5,4,5,7,7,5,6,3,6,B,AA,1,1,3,4,4,5,6,5,4,5,3,5,4,5,4,1,AF,1,1,2,2,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,4/3/18,Nadra,
93,4/2/18,15:35,Maddie,E,S,AA,1,B,1,5,7,5,4,3,6,5,5,5,4,4,4,4,A,AF,3,1,5,7,5,4,3,6,6,6,6,4,4,4,4,2,AF,2,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,1,28,,Maddie,4/3/18,Nadra,
94,4/2/18,17:05,Maddie,F,A,AA,4,A,1,6,6,6,6,7,6,6,3,3,6,6,4,4,B,AF,3,1,6,6,6,6,7,6,7,7,7,6,6,4,4,0,,7,1,7,2,2,0,2,0,0,0,0,0,0,1,0,0,2,5,"Emotionally exasperated during debrief over lack of clarity. Asked questions about study hypothesis post-debrief, directed to info sheet.",Maddie,4/3/18,Nadra,
95,4/3/18,10:00,Maddie,F,S,AA,3,A,1,4,5,5,6,6,6,7,6,6,4,4,4,4,B,AF,3,1,4,6,5,6,6,5,6,6,6,4,4,4,4,1,AA,2,2,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,21,,Maddie,4/3/18,Nadra,
96,4/3/18,11:30,Maddie,F,C,AA,3,B,1,7,7,7,7,7,7,7,4,4,7,6,7,3,A,AF,2,,5,7,6,7,7,7,7,7,7,7,6,7,3,1,AA,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,20,Loud laughter in hallway as participant entered,Maddie,4/3/18,Nadra,
97,4/3/18,12:30,Maddie,F,C,AA,4,B,1,5,5,7,,6,6,5,4,3,4,5,4,4,A,AF,4,1,5,5,5,6,6,6,4,4,5,4,5,4,4,1,AA,2,2,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,20,Helped participant close RM F door,Maddie,4/3/18,Nadra,
98,4/3/18,12:35,Maddie,E,S,AA,3,B,1,5,7,6,7,5,6,3,4,2,5,5,7,1,A,AF,2,1,4,7,5,4,5,6,7,7,7,7,5,5,3,1,AA,2,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,1,20,"Participant arrived late, started 12:35",Maddie,4/3/18,Nadra,
99,4/3/18,13:00,Maddie,F,A,AF,2,A,1,4,6,4,4,6,6,4,4,5,5,5,5,2,B,AA,4,1,4,5,5,4,6,6,3,4,2,5,5,5,2,1,AF,1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,4/3/18,Nadra,
100,4/3/18,15:00,Maddie,F,A,AA,1,B,1,4,5,3,3,5,4,3,1,3,5,5,5,2,A,AF,2,1,5,5,6,5,5,5,4,4,6,6,6,6,3,2,AF,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Prachi,4/23/18,Maddie,
101,4/3/18,15:00,Maddie,E,C,AF,1,A,1,6,7,6,6,6,7,6,4,4,4,4,4,4,B,AA,4,,6,7,6,6,6,7,6,4,4,4,4,4,4,2,AA,1,1,2,1,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Prachi,4/23/18,Maddie,
102,4/3/18,15:00,Maddie,D,S,AA,4,B,1,5,7,5,5,6,5,6,5,4,7,6,2,4,A,AF,3,1,5,7,6,5,5,6,5,5,4,7,7,5,3,1,AA,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,19,"Asked if they got gender right - explained I couldn’t confirm, explained study design, post-debrief",Prachi,4/23/18,Maddie,
103,4/3/18,16:00,Phillip,F,C,AF,2,B,1,7,7,7,7,7,7,7,6,6.5,7,7,4,4,A,AA,4,1,7,7,7,7,7,7,6,4,4,7,7,4,4,1,AF,1,1,2,1,2,0,2,0,0,1,0,0,0,1,0,0,1,18,,Prachi,4/23/18,Maddie,
104,4/3/18,17:30,Phillip,F,C,AA,1,A,1,5,6,6,6,6,6,5,3,3,3,3,3,3,B,AF,2,1,6,6,6,6,6,6,5,4,5,3,3,3,3,2,AF,2,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,1,18,,Prachi,4/23/18,Maddie,
105,4/4/18,11:00,Ngaio,F,A,AF,4,A,1,6,7,7,5,6,6,4,3,3,4,4,4,4,B,AA,1,1,7,7,7,7,5,6,5,6,7,6,7,4,4,2,AA,1,1,2,1,1,0,2,0,0,0,0,0,0,1,0,0,2,0.75,,Prachi,4/23/18,Maddie,
106,4/4/18,12:30,Phillip,F,S,AA,3,A,1,5,7,5,5,6,6,6,4,3,4,5,4,4,B,AF,1,1,6,7,6,6,6,6,7,6,6,4,5,4,4,2,AF,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Prachi,4/23/18,Maddie,
107,4/4/18,12:30,Phillip,E,A,AA,3,A,1,3,5,4,5,5,5,6,3,3,3,3,3,3,B,AF,4,1,4,5,5,5,5,5,3,3,3,3,3,3,3,2,AF,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,22,,Prachi,4/23/18,Maddie,
108,4/4/18,13:30,Phillip,F,S,AA,2,B,1,6,6,7,7,7,7,7,4,4,4,4,4,4,A,AF,2,1,6,6,7,7,7,7,7,7,7,4,4,4,4,2,AF,2,2,1,1,1,0,2,0,0,0,0,0,0,1,0,0,1,31,,Prachi,4/23/18,Maddie,
109,4/4/18,13:30,Phillip,E,A,AA,2,B,1,3,5,3,4,5,5,2,1,3,7,7,5,3,A,AF,2,1,4,5,5,6,5,5,5,5,5,7,7,4,4,2,AF,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Prachi,4/23/18,Maddie,
110,4/5/18,16:00,Phillip,F,A,AF,1,B,1,4,5,3,5,5,5,4,4,6,4,4,4,4,A,AA,1,1,4,5,4,5,6,5,3,3,3,4,4,4,4,1,AF,1,1,2,1,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Prachi,4/23/18,Maddie,
111,4/5/18,16:00,Phillip,E,C,AA,4,A,1,5,7,7,7,7,7,7,7,4,4,4,7,2,B,AF,1,1,6,7,7,7,7,7,7,7,7,5,4,7,2,2,AF,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Prachi,4/23/18,Maddie,
112,4/5/18,17:30,Phillip,F,C,AA,2,B,1,5,6,5,4,5,5,4,4,4,4,4,4,4,A,AF,3,1,6,5,4,4,5,6,6,7,7,4,4,4,4,2,AF,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,20,,Prachi,4/23/18,Maddie,
113,4/5/18,17:30,Phillip,E,S,AF,4,B,1,5,7,6,6,5,,7,7,7,6,5,5,3,A,AA,1,1,5,7,6,6,6,6,5,2,2,6,5,4,4,1,AF,1,1,2,2,1,0,2,0,0,0,0,0,0,1,0,0,1,21,,Prachi,4/23/18,Maddie,
114,4/5/18,17:30,Phillip,D,C,AA,3,A,1,5,6,7,6,6,6,5,,,,5,4,4,B,AF,2,1,5,7,6,6,7,6,5,5,5,5,4,4,4,2,AF,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Prachi,4/23/18,Maddie,
115,4/6/18,13:30,Phillip,F,S,AA,2,A,1,3,4,5,4,4,5,4,4,2,4,4,4,4,B,AF,2,1,4,4,4,5,4,5,4,5,5,4,4,4,4,2,AF,2,2,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Prachi,4/23/18,Maddie,
116,4/6/18,16:00,Phillip,F,A,AF,1,A,1,3,5,4,4,4,6,5,7,6,4,4,4,4,B,AA,3,1,4,4,3,3,4,4,5,3,4,4,4,4,4,1,AF,1,1,2,1,2,0,2,0,0,0,0,0,0,1,0,0,1,19,During debrief it seemed like participant wanted to leave immediately after because they gave short answers,Prachi,4/23/18,Maddie,
117,4/6/18,16:00,Phillip,E,S,AF,3,A,1,6,7,6,7,7,7,4,4,4,4,4,4,4,B,AA,1,1,7,7,7,6,7,6,4,4,4,4,4,4,4,2,AA,1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Prachi,4/23/18,Maddie,
118,4/10/18,15:00,Maddie,F,S,AF,1,B,1,5,5,4,5,5,5,7,7,7,5,6,5,2,A,AA,2,1,6,6,7,6,6,6,4,2,3,5,6,4,4,2,AA,1,1,2,1,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Prachi,4/23/18,Maddie,
119,4/11/18,11:30,Ngaio,E,C,AA,4,A,1,7,7,7,7,7,7,5,1,4,5,5,5,3,B,AF,2,1,7,7,7,7,7,7,6,5,7,5,5,3,4,2,AF,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Prachi,4/23/18,Maddie,
120,4/11/18,12:30,Phillip,F,A,AF,1,B,1,7,7,7,7,7,7,4,5,5,4,4,4,4,A,AA,3,1,7,7,7,7,7,7,4,5,5,4,4,4,4,1,AF,1,1,2,1,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Prachi,4/23/18,Maddie,
121,4/12/18,16:00,Phillip,F,C,AA,3,A,1,5,5,5,5,5,5,4,4,5,5,5,5,2,B,AF,4,1,5,5,5,5,5,5,5,7,7,5,5,5,2,2,AF,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Prachi,4/23/18,Maddie,
122,4/12/18,16:00,Phillip,E,C,AF,3,A,1,6,6,6,6,7,5,6,6,4,4,4,4,4,B,AA,3,1,6,6,6,6,6,6,4,4,4,4,4,4,4,1,AF,1,1,2,1,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Prachi,4/23/18,Maddie,
123,4/16/18,9:30,Maddie,F,A,AF,1,B,,5,7,6,5,5,6,6,4,4,4,4,4,4,A,AA,4,,5,6,5,5,5,5,4,4,4,4,4,4,4,1,AF,1,1,2,2,2,0,2,0,0,0,0,0,1,0,0,0,2,4,,Prachi,4/23/18,Maddie,
124,4/16/18,14:35,Maddie,F,C,AA,2,A,1,5,6,5,6,6,5,6,5,5,4,5,4,4,B,AF,4,1,5,5,4,4,5,4,5,5,4,4,5,4,4,1,AA,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,20,,Prachi,4/23/18,Maddie,
125,4/17/18,11:30,Phillip,F,A,AA,3,A,1,4,4,5,5,6,6,6,5,5,6,6,6,2,B,AF,2,1,4,4,6,6,6,5,5,6,6,6,6,6,3,2,AF,2,2,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,22,,Prachi,4/23/18,Maddie,
126,4/17/18,13:30,Avery,F,S,AF,3,B,1,6,7,6,7,7,6,5,5,5,5,5,5,3,A,AA,2,,4,6,5,5,5,5,4,5,5,4,5,4,4,1,AF,1,1,2,1,2,0,2,0,0,0,0,0,0,1,0,0,1,15,Participant seemed very young - maybe under 18?,Prachi,4/23/18,Maddie,
127,4/19/18,16:00,Phillip,F,A,AF,1,A,1,5,7,5,4,5,4,4,5,4,4,4,4,4,B,AA,2,1,4,6,4,4,6,5,3,3,3,4,4,4,4,1,AF,1,1,2,1,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Prachi,4/23/18,Maddie,
128,5/1/18,16:30,Phillip,F,S,AF,1,A,1,6,7,5,5,6,6,6,6,6,6,6,6,2,B,AA,1,1,6,7,6,6,6,6,6,4,4,6,6,6,2,1,AF,1,1,2,1,2,0,2,0,0,0,0,0,0,0,1,Afghan,2,10,Participant identifies as Afghan,Maddie,5/16/18,Phillip,
129,5/2/18,13:30,Phillip,F,S,AF,4,B,1,5,7,7,7,7,7,7,7,7,6,5,4,4,A,AA,2,1,5,7,7,7,7,7,6,6,6,6,6,4,4,1,AF,1,1,2,1,2,0,2,0,0,0,0,0,0,1,0,0,1,20,,Maddie,5/16/18,Phillip,
130,5/8/18,17:00,Phillip,F,S,AA,1,A,1,5,7,5,5,4,5,5,3,4,5,5,5,2,B,AF,4,1,6,7,5,6,5,6,6,6,6,5,6,6,2,2,AF,2,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,1,21,,Maddie,5/16/18,Phillip,
131,5/9/18,12:30,Phillip,F,C,AF,1,B,1,5,6,5,5,4,4,3,3,3,3,3,3,3,A,AA,1,1,6,5,5,4,4,4,2,2,2,3,3,3,3,0,,,1,2,1,2,0,2,0,0,0,0,0,1,0,0,0,2,5,Participant asked if it wasn't on the computer- didn't listen to instructions?,Maddie,5/16/18,Phillip,
132,5/9/18,13:00,Phillip,E,A,AA,4,B,1,7,7,6,7,7,7,5,5,2,7,7,6,2,A,AF,2,1,5,6,6,6,7,6,7,7,7,7,7,7,2,1,AA,2,2,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,5/16/18,Phillip,
133,5/9/18,16:00,Phillip,F,C,AA,3,A,1,7,7,7,7,7,7,7,6,6,6,6,3,5,B,AF,1,1,7,7,7,7,7,7,7,7,7,7,7,6,2,2,AF,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Maddie,5/16/18,Phillip,
134,5/10/18,16:00,Phillip,E,S,AA,2,A,1,6,7,6,6,6,7,6,4,5,5,4,4,4,B,AF,1,1,6,7,6,6,6,7,6,5,6,5,4,4,4,1,AA,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,5/16/18,Phillip,
135,5/10/18,17:30,Phillip,F,C,AF,1,B,1,5,7,5,5,6,6,3,4,4,4,4,4,4,A,AA,3,1,6,7,5,5,6,6,4,4,4,4,4,4,4,1,AF,1,1,2,1,1,0,2,0,0,0,0,0,1,1,0,0,1,20,,Maddie,5/16/18,Phillip,
136,5/15/18,16:00,Phillip,F,C,AA,4,B,1,6,7,7,7,7,6,6,4,5,5,5,3,4,A,AF,2,1,6,7,7,7,7,6,6,6,6,4,4,4,4,2,AF,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,28,,Maddie,5/16/18,Phillip,
137,5/15/18,16:00,Phillip,E,A,AA,3,B,1,5,6,4,5,6,7,6,3,5,6,6,5,3,A,AF,1,1,4,6,4,6,5,7,6,6,6,6,6,7,2,1,AA,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,5/16/18,Phillip,
138,5/15/18,16:30,Phillip,F,A,AF,4,A,1,4,6,6,5,7,6,6,7,6,5,5,6,3,B,AA,2,1,4,5,6,6,7,6,6,7,6,5,5,4,3,1,AF,1,1,2,1,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Maddie,5/16/18,Phillip,
139,5/16/18,12:30,Phillip,F,S,AA,4,A,1,5,7,5,5,6,6,6,3,6,4,5,5,3,B,AF,1,1,5,5,7,6,6,6,6,6,7,4,5,5,3,2,AF,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,16,Age seems questionable?,Maddie,5/16/18,Phillip,
140,5/16/18,12:30,Phillip,E,A,AF,3,A,1,5,6,,5,7,7,7,7,7,7,7,7,2,B,AA,1,1,4,6,5,5,7,7,6,4,4,6,7,4,4,1,AF,1,1,2,1,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,5/16/18,Phillip,
141,5/16/18,12:30,Phillip,D,A,AA,2,B,1,6,7,6,6,7,7,5,6,3,4,6,4,6,A,AF,1,1,6,7,7,6,7,7,7,7,6,5,5,6,4,2,AF,2,1,1,1,1,0,2,0,0,1,0,0,0,1,0,0,1,21,,Maddie,5/16/18,Phillip,
142,5/16/18,13:00,Phillip,F,S,AA,4,B,1,5,5,5,5,5,4,4,3,3,4,5,4,4,A,AF,1,1,5,5,5,5,4,5,5,5,5,5,6,5,3,2,AF,2,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,5/16/18,Phillip,
143,5/16/18,13:30,Phillip,F,S,AA,4,B,1,7,7,7,7,7,7,7,7,7,4,4,5,3,A,AF,4,1,7,7,7,7,7,7,7,7,7,4,4,5,3,2,AF,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,18,Participant didn't read info statement at all,Maddie,5/16/18,Phillip,
144,5/17/18,16:00,Phillip,F,S,AF,2,A,1,6,7,6,6,6,6,5,,6,5,5,4,4,B,AA,4,1,7,7,7,6,6,6,5,4,5,5,5,4,4,1,AF,1,1,2,1,2,0,2,0,0,0,0,0,0,1,0,0,1,20,,Maddie,5/23/18,Phillip,
145,5/23/18,13:00,Phillip,F,A,AA,2,A,1,5,6,5,5,7,6,6,6,6,5,5,5,3,B,AF,3,1,5,6,6,6,7,6,6,6,7,5,5,5,3,2,AF,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Maddie,5/23/18,Phillip,
146,5/23/18,13:30,Phillip,F,C,AA,4,B,1,5,5,4,5,4,4,5,4,4,3,3,3,3,A,AF,3,1,4,5,4,5,4,4,6,6,6,3,3,3,3,1,AA,2,2,1,1,1,0,2,0,0,0,0,0,1,0,0,0,1,20,,Maddie,5/23/18,Phillip,
147,5/29/18,16:00,Phillip,F,A,AF,3,B,1,6,6,6,6,7,6,6,5,5,5,5,5,3,A,AA,2,1,6,6,6,6,7,6,5,4,5,5,6,4,3,1,AF,1,1,2,1,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Katie,5/23/18,Phillip,
148,5/29/18,16:00,Phillip,E,S,AA,1,B,1,5,7,6,6,7,7,6,5,5,6,6,4,4,A,AF,1,1,5,7,6,6,7,5,7,6,6,6,6,4,4,2,AF,2,1,1,2,1,0,2,0,0,0,0,0,0,1,0,0,1,18,,Katie Mills,7/3/18,Phillip,
149,5/29/18,17:00,Phillip,F,A,AF,1,A,1,6,7,7,6,7,6,6,6,6,6,6,6,2,B,AA,4,1,5,7,6,6,7,6,5,4,4,6,6,6,2,0,,1,1,2,1,1,0,2,0,0,0,0,0,0,1,0,0,1,18,Participant claimed that they weren't comparing the two candidates during the questionnaire and asked if they really had to choose between them,Katie,7/3/18,Phillip,
150,5/30/18,13:00,Phillip,F,S,AF,3,B,1,6,7,7,7,6,6,7,6,6,6,6,5,3,A,AA,3,1,5,6,6,5,7,5,3,3,2,5,7,4,4,1,AF,1,1,2,1,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Katie,7/3/18,Phillip,
151,5/30/18,13:00,Phillip,E,C,AF,4,A,1,7,7,7,7,7,7,7,6,7,6,6,4,2,B,AA,3,1,7,7,7,7,7,7,6,5,5,6,6,4,2,2,AA,1,1,2,1,1,0,2,0,0,0,0,0,0,1,0,0,1,,,Katie,7/3/18,Phillip,
152,5/30/18,13:00,Phillip,D,C,AF,2,A,1,6,6,6,7,7,7,7,7,7,6,6,5,3,B,AA,2,1,6,6,6,7,7,7,6,5,5,6,6,5,3,2,AA,5,1,2,2,2,0,2,0,0,0,0,0,0,1,0,0,1,19,There is an additional page before the first resume; it's the cover page that prints from the xerox printer downstairs. ,Katie,7/3/18,Phillip,Resume cover page stapled into packet
153,5/30/18,13:30,Phillip,F,S,AF,1,B,1,6,6,6,6,6,6,6,7,7,6,6,6,2,A,AA,3,1,6,6,6,6,6,6,5,4,4,6,6,4,3,2,AA,1,1,2,1,2,0,2,0,0,0,0,0,0,1,0,0,1,22,,Katie,7/3/18,Phillip,
154,5/30/18,13:30,Phillip,G,C,AA,2,A,1,3,5,4,5,5,5,3,2,2,3,3,5,2,B,AF,3,1,4,5,5,5,4,4,6,7,7,4,4,5,2,2,AF,2,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Katie ,7/3/18,Phillip,
155,5/30/18,13:30,Phillip,D,A,AA,1,B,1,3,6,3,3,6,6,3,4,2,6,6,6,2,A,AF,3,1,5,7,5,6,6,6,6,6,7,6,6,6,2,2,AF,2,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,1,16,"This participant could've lived outside the US for a period of time, but are we for certain that they're 18?",Katie,7/3/18,Phillip,
156,5/30/18,14:00,Phillip,F,A,AF,3,A,1,5,6,5,6,6,6,6,6,6,5,6,4,4,B,AA,2,1,5,6,5,5,6,6,6,5,5,5,5,4,4,2,AA,1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Katie,7/3/18,Phillip,
157,5/31/18,16:00,Phillip,F,C,AA,1,A,1,5,7,5,6,7,6,6,5,5,5,5,4,3,B,AF,4,1,5,7,5,6,7,6,6,6,6,5,6,4,3,1,AA,2,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Katie,7/3/18,Phillip,
158,5/31/18,16:00,Phillip,E,A,AF,4,A,1,5,5,6,5,7,4,6,7,7,4,4,4,4,B,AA,3,1,5,4,5,5,6,4,3,3,4,5,4,4,4,1,AF,1,1,2,1,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Katie,7/3/18,Phillip,
159,6/28/18,12:00,Katie,F,S,AF,1,B,1,6,6,4,7,6,6,6,7,5,4,4,5,3,A,AA,4,1,6,7,7,6,6,7,4,7,2,4,4,5,3,1,AF,1,1,2,1,1,0,2,0,0,0,0,0,0,1,0,0,1,20,,Katie,7/3/18,Phillip,
160,6/28/18,12:30,Katie,F,C,AA,3,B,1,3,4,3,4,6,3,6,4,4,6,6,4,4,A,AF,4,1,3,4,3,4,6,4,6,4,6,6,6,4,3,2,AF,2,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,2,7,"Confusion in room #, went downstairs to get participant. Very talkative, knock on door at very end",Katie,7/3/18,Phillip,
161,6/28/18,13:30,Phillip,F,A,AF,3,A,1,6,6,6,6,7,7,6,5,6,6,7,5,5,B,AA,3,1,4,5,3,3,4,4,4,2,2,5,6,5,5,1,AF,1,1,2,1,2,0,2,0,0,0,0,0,0,1,0,0,1,23,,Katie,7/3/18,Phillip,
162,7/2/18,11:00,Erin,F,C,AA,2,B,1,7,7,7,7,7,7,7,7,6,7,7,4,4,A,AF,2,1,7,7,7,7,7,7,7,6,7,7,7,4,4,2,AF,2,2,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,21.5,,Katie,7/3/18,Phillip,
